iter	Passed	Remaining
0	4	854
1	6	668
2	11	740
3	15	757
4	19	759
5	23	757
6	26	733
7	30	733
8	34	732
9	38	730
10	43	739
11	47	750
12	52	755
13	57	759
14	62	776
15	68	787
16	72	779
17	77	784
18	82	781
19	86	780
20	91	780
21	95	774
22	99	766
23	103	760
24	108	761
25	113	756
26	117	750
27	121	745
28	126	745
29	130	739
30	134	733
31	138	729
32	141	716
33	145	710
34	149	705
35	154	701
36	158	698
37	162	694
38	166	688
39	171	684
40	176	682
41	180	678
42	185	675
43	189	672
44	194	670
45	198	666
46	204	664
47	208	659
48	212	654
49	217	651
50	221	648
51	227	646
52	231	642
53	234	632
54	238	629
55	242	624
56	247	620
57	252	617
58	257	614
59	261	610
60	265	605
61	270	601
62	273	594
63	277	589
64	281	585
65	286	582
66	290	577
67	295	572
68	300	569
69	304	565
70	308	561
71	313	556
72	318	553
73	323	550
74	328	547
75	334	545
76	339	541
77	343	537
78	348	534
79	353	529
80	357	525
81	361	520
82	367	517
83	372	513
84	377	510
85	381	506
86	386	501
87	390	497
88	395	493
89	400	489
90	404	484
91	407	478
92	411	473
93	416	469
94	420	465
95	425	460
96	430	457
97	434	451
98	437	446
99	441	441
100	446	437
101	450	433
102	455	428
103	459	424
104	463	419
105	468	415
106	470	409
107	475	404
108	479	400
109	484	396
110	488	391
111	494	388
112	499	384
113	503	379
114	508	375
115	514	372
116	519	368
117	523	363
118	528	359
119	533	355
120	538	351
121	543	347
122	548	343
123	552	338
124	557	334
125	562	330
126	566	325
127	570	320
128	575	316
129	580	312
130	584	307
131	589	303
132	595	299
133	599	295
134	603	290
135	608	286
136	612	281
137	616	277
138	621	272
139	626	268
140	630	263
141	634	259
142	639	254
143	643	250
144	647	245
145	651	241
146	656	236
147	660	232
148	665	227
149	670	223
150	674	218
151	678	214
152	683	209
153	687	205
154	692	201
155	696	196
156	700	191
157	705	187
158	710	183
159	714	178
160	718	174
161	723	169
162	727	165
163	732	160
164	736	156
165	741	151
166	745	147
167	749	142
168	754	138
169	756	133
170	760	128
171	764	124
172	768	119
173	772	115
174	776	110
175	780	106
176	785	102
177	789	97
178	793	93
179	797	88
180	801	84
181	806	79
182	810	75
183	813	70
184	818	66
185	820	61
186	824	57
187	828	52
188	831	48
189	836	44
190	840	39
191	844	35
192	848	30
193	852	26
194	856	21
195	860	17
196	865	13
197	869	8
198	873	4
199	877	0
